
[34m[1mwandb[39m[22m: Adding directory to artifact (./corpus)... Done. 0.0s
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     45.21    0.00    0.00    0.00    0.00
  0     200       4521.79   5405.50   37.38   45.22   31.85    0.37
  1     400        292.64   1355.56   59.46   59.97   58.96    0.59
  1     600        371.85   1023.37   65.86   75.60   58.35    0.66
  2     800        219.77    690.22   68.64   71.86   65.70    0.69
  2    1000        289.02    465.28   70.38   77.05   64.78    0.70
[34m[1mwandb[39m[22m: Adding directory to artifact (./training/model-last)... Done. 0.0s
  3    1200        336.34    358.99   73.54   71.26   75.96    0.74
  4    1400        253.16    321.60   73.45   72.36   74.58    0.73
